Cluster,VAWI,K-ratio
1.0,"[1031.0609048468473, 1026.4244354322104, 1036.7342730860796, 1033.5246894499785, 1012.962657600373, 1022.8800054177832, 1033.7716422823114, 1062.2815913446177, 1068.0585503009484, 1055.6174110335523, 1093.3443288287856, 1128.7466977262338, 1153.0383436879715, 1139.9288885339183, 1121.2933401739633, 1099.3393793971934, 1086.9233051015524, 1108.8537256471843, 1080.6047861402567, 1046.8825977338781, 1069.0216696529824, 1062.1864892998235, 1040.740198677244, 1061.758423915178, 1043.890386793492, 1036.5698061580329, 1032.6541004157752, 1012.6980295346128, 1065.2684857572413, 1031.187216444718, 997.2125586864621, 972.9165214160695, 998.4795308495243, 985.3441344301032, 986.7152623357936, 974.752971640869, 960.9902575690357, 974.8311283636459, 969.6466134340066, 976.1097734772317, 981.3479578080496, 993.7908452798189, 1023.8419169578264, 1025.3627888805956, 1039.46330978455, 1046.7524464453115, 1032.8310198721979, 1014.4496254417511, 1014.3640799005051, 1052.8290588564735, 1018.8842550771924, 998.06338676123, 1012.8238542622277]",-0.4074236323384184
0.0,"[1013.7314229515779, 1009.0532608012237, 1023.5330093694937, 1012.6159840150859, 999.9615046531057, 1015.3349771697558, 1034.470640539769, 1060.378414115538, 1077.136821379084, 1064.100415295685, 1118.6709602731976, 1159.6679272771141, 1201.9911764371107, 1213.6062602865186, 1187.5135639624518, 1161.197757903195, 1133.0832623382748, 1153.7203524993108, 1120.4984323606486, 1084.9528827945296, 1093.8590966523009, 1119.6297481802726, 1109.9231906537138, 1128.485896878989, 1103.802707536603, 1120.7254999486938, 1122.0871826939522, 1129.4565033339586, 1218.8904849464009, 1185.2941762346782, 1148.6294570166324, 1123.1983148473455, 1160.8822576703908, 1156.7135178110727, 1152.2798731961066, 1148.9168008143167, 1131.8333542849002, 1114.3494717003437, 1112.865498528135, 1145.9122277798106, 1163.7046807752674, 1184.9760935446102, 1227.0593806482736, 1200.9379091557003, 1214.1897101944467, 1220.1727221118122, 1210.7119271542363, 1199.201497922182, 1202.7833270692613, 1208.5560440858362, 1174.8808147919021, 1198.25937278421, 1209.7982233510045]",3.1157654781758075
2.0,"[1030.0350378917703, 1029.3691610178469, 1050.4315736141073, 1041.3730366269322, 1022.2733552130602, 1019.4199315145394, 1038.4834759401895, 1044.2558453367187, 1070.2694276267187, 1062.3288439390278, 1126.745060039823, 1159.3740285598592, 1173.1468738523604, 1186.0705130912959, 1147.1615615985145, 1104.9258137665736, 1076.3907752339412, 1096.7159107581517, 1066.335718574231, 1029.5390536922987, 1035.3108857492462, 1062.7983108249164, 1057.5635804658523, 1083.5109462582482, 1059.1447501126147, 1047.512915136325, 1040.4167702638113, 1054.6005155270907, 1101.0946326258374, 1047.3552681438928, 1019.0658261353483, 1004.6545089923169, 1063.5934003111413, 1039.4134580782627, 1032.4946921964595, 1045.4415424676044, 1012.8834573355356, 987.193994301876, 983.6370631369587, 1002.1751627601225, 1006.2371348197706, 1012.9256359447393, 1035.274374822101, 1010.3812679791058, 1012.9686267007417, 1007.0865026606365, 1002.6044794560544, 992.1857324471364, 1004.7995517861671, 1017.6568164934239, 1006.0014285457753, 982.7083732932374, 1001.6199048151324]",-0.607612093971711
