Cluster,Tickers,Weights
1.0,"['MSFT', 'MMM', 'CAT', 'CSCO', 'DOW', 'GS', 'INTC', 'JNJ']","[0.004000982031796525, -2.4442993448771513e-23, -8.879652896524776e-24, 0.11116213214842281, 0.16320384434371984, -3.223760632015594e-23, 1.1665484514613827e-23, 0.7216330414760611]"
0.0,"['NKE', 'UNH', 'AMZN', 'AMGN', 'AAPL', 'BA', 'KO', 'IBM', 'JPM', 'MRK']","[-3.317398314717771e-23, 0.19833949832579645, 0.02846147388852755, 0.1249227431674933, -7.635867934330904e-24, 0.0747973008605306, 0.1612843524028631, 0.0452913756912324, 3.744636414810645e-24, 0.3669032556635567]"
2.0,"['PG', 'TRV', 'VZ', 'AXP', 'CVX', 'HD', 'MCD']","[0.12594932621077257, 0.20046220480105986, 0.2356237230844261, -2.6930655164873174e-23, 0.07522362249498962, 0.13739397585811777, 0.22534714755063412]"
