,
MSFT,88
NKE,73
PG,58
CRM,0
TRV,68
UNH,80
VZ,71
V,65
MMM,91
AMZN,80
AXP,69
AMGN,77
AAPL,77
BA,79
CAT,83
CVX,71
CSCO,83
KO,79
DOW,92
GS,87
HD,68
HON,0
INTC,91
IBM,74
JNJ,84
JPM,79
MCD,67
MRK,75
